; COTATION.dte; ROW_NUMBER ORDER BY COTATION.dte PARTITION BY COTATION.dte; Count
; 20/08/2012 00:00:00; 1; 1
; 20/08/2012 00:00:00; 2; 1
; 20/08/2012 00:00:00; 3; 1
; 20/08/2012 00:00:00; 4; 1
; 20/08/2012 00:00:00; 5; 1
; 20/08/2012 00:00:00; 6; 1
; 20/08/2012 00:00:00; 7; 1
; 20/08/2012 00:00:00; 8; 1
; 20/08/2012 00:00:00; 9; 1
; 20/08/2012 00:00:00; 10; 1
; 20/08/2012 00:00:00; 11; 1
; 20/08/2012 00:00:00; 12; 1
; 20/08/2012 00:00:00; 13; 1
; 20/08/2012 00:00:00; 14; 1
; 20/08/2012 00:00:00; 15; 1
; 20/08/2012 00:00:00; 16; 1
; 20/08/2012 00:00:00; 17; 1
; 20/08/2012 00:00:00; 18; 1
; 20/08/2012 00:00:00; 19; 1
; 20/08/2012 00:00:00; 20; 1
; 20/08/2012 00:00:00; 21; 1
; 20/08/2012 00:00:00; 22; 1
; 20/08/2012 00:00:00; 23; 1
; 20/08/2012 00:00:00; 24; 1
; 20/08/2012 00:00:00; 25; 1
; 20/08/2012 00:00:00; 26; 1
; 20/08/2012 00:00:00; 27; 1
; 20/08/2012 00:00:00; 28; 1
; 20/08/2012 00:00:00; 29; 1
; 20/08/2012 00:00:00; 30; 1
; 20/08/2012 00:00:00; 31; 1
; 20/08/2012 00:00:00; 32; 1
; 20/08/2012 00:00:00; 33; 1
; 20/08/2012 00:00:00; 34; 1
; 20/08/2012 00:00:00; 35; 1
; 20/08/2012 00:00:00; 36; 1
; 20/08/2012 00:00:00; 37; 1
; 20/08/2012 00:00:00; 38; 1
; 20/08/2012 00:00:00; 39; 1
; 20/08/2012 00:00:00; 40; 1
; 20/08/2012 00:00:00; 41; 1
; 20/08/2012 00:00:00; 42; 1
; 20/08/2012 00:00:00; 43; 1
; 20/08/2012 00:00:00; 44; 1
; 20/08/2012 00:00:00; 45; 1
; 20/08/2012 00:00:00; 46; 1
; 20/08/2012 00:00:00; 47; 1
; 20/08/2012 00:00:00; 48; 1
; 20/08/2012 00:00:00; 49; 1
; 20/08/2012 00:00:00; 50; 1
; 20/08/2012 00:00:00; 51; 1
; 20/08/2012 00:00:00; 52; 1
; 20/08/2012 00:00:00; 53; 1
; 20/08/2012 00:00:00; 54; 1
; 20/08/2012 00:00:00; 55; 1
; 20/08/2012 00:00:00; 56; 1
; 20/08/2012 00:00:00; 57; 1
; 20/08/2012 00:00:00; 58; 1
; 20/08/2012 00:00:00; 59; 1
; 20/08/2012 00:00:00; 60; 1
; 20/08/2012 00:00:00; 61; 1
; 20/08/2012 00:00:00; 62; 1
; 20/08/2012 00:00:00; 63; 1
; 20/08/2012 00:00:00; 64; 1
; 20/08/2012 00:00:00; 65; 1
; 20/08/2012 00:00:00; 66; 1
; 20/08/2012 00:00:00; 67; 1
; 20/08/2012 00:00:00; 68; 1
; 20/08/2012 00:00:00; 69; 1
; 20/08/2012 00:00:00; 70; 1
; 20/08/2012 00:00:00; 71; 1
; 20/08/2012 00:00:00; 72; 1
; 20/08/2012 00:00:00; 73; 1
; 20/08/2012 00:00:00; 74; 1
; 20/08/2012 00:00:00; 75; 1
; 20/08/2012 00:00:00; 76; 1
; 20/08/2012 00:00:00; 77; 1
; 20/08/2012 00:00:00; 78; 1
; 20/08/2012 00:00:00; 79; 1
; 20/08/2012 00:00:00; 80; 1
; 20/08/2012 00:00:00; 81; 1
; 20/08/2012 00:00:00; 82; 1
; 20/08/2012 00:00:00; 83; 1
; 20/08/2012 00:00:00; 84; 1
; 20/08/2012 00:00:00; 85; 1
; 20/08/2012 00:00:00; 86; 1
; 20/08/2012 00:00:00; 87; 1
; 20/08/2012 00:00:00; 88; 1
; 20/08/2012 00:00:00; 89; 1
; 20/08/2012 00:00:00; 90; 1
; 20/08/2012 00:00:00; 91; 1
; 20/08/2012 00:00:00; 92; 1
; 20/08/2012 00:00:00; 93; 1
; 20/08/2012 00:00:00; 94; 1
; 20/08/2012 00:00:00; 95; 1
; 20/08/2012 00:00:00; 96; 1
; 20/08/2012 00:00:00; 97; 1
; 20/08/2012 00:00:00; 98; 1
; 20/08/2012 00:00:00; 99; 1
; 20/08/2012 00:00:00; 100; 1
; 20/08/2012 00:00:00; 101; 1
; 20/08/2012 00:00:00; 102; 1
; 20/08/2012 00:00:00; 103; 1
; 20/08/2012 00:00:00; 104; 1
; 20/08/2012 00:00:00; 105; 1
; 20/08/2012 00:00:00; 106; 1
; 20/08/2012 00:00:00; 107; 1
; 20/08/2012 00:00:00; 108; 1
; 20/08/2012 00:00:00; 109; 1
; 20/08/2012 00:00:00; 110; 1
; 20/08/2012 00:00:00; 111; 1
; 20/08/2012 00:00:00; 112; 1
; 20/08/2012 00:00:00; 113; 1
; 20/08/2012 00:00:00; 114; 1
; 20/08/2012 00:00:00; 115; 1
; 20/08/2012 00:00:00; 116; 1
; 20/08/2012 00:00:00; 117; 1
; 20/08/2012 00:00:00; 118; 1
; 20/08/2012 00:00:00; 119; 1
; 20/08/2012 00:00:00; 120; 1
; 20/08/2012 00:00:00; 121; 1
; 20/08/2012 00:00:00; 122; 1
; 20/08/2012 00:00:00; 123; 1
; 20/08/2012 00:00:00; 124; 1
; 20/08/2012 00:00:00; 125; 1
; 20/08/2012 00:00:00; 126; 1
; 20/08/2012 00:00:00; 127; 1
; 20/08/2012 00:00:00; 128; 1
; 20/08/2012 00:00:00; 129; 1
; 20/08/2012 00:00:00; 130; 1
; 20/08/2012 00:00:00; 131; 1
; 20/08/2012 00:00:00; 132; 1
; 20/08/2012 00:00:00; 133; 1
; 21/08/2012 00:00:00; 1; 1
; 21/08/2012 00:00:00; 2; 1
; 21/08/2012 00:00:00; 3; 1
; 21/08/2012 00:00:00; 4; 1
; 21/08/2012 00:00:00; 5; 1
; 21/08/2012 00:00:00; 6; 1
; 21/08/2012 00:00:00; 7; 1
; 21/08/2012 00:00:00; 8; 1
; 21/08/2012 00:00:00; 9; 1
; 21/08/2012 00:00:00; 10; 1
; 21/08/2012 00:00:00; 11; 1
; 21/08/2012 00:00:00; 12; 1
; 21/08/2012 00:00:00; 13; 1
; 21/08/2012 00:00:00; 14; 1
; 21/08/2012 00:00:00; 15; 1
; 21/08/2012 00:00:00; 16; 1
; 21/08/2012 00:00:00; 17; 1
; 21/08/2012 00:00:00; 18; 1
; 21/08/2012 00:00:00; 19; 1
; 21/08/2012 00:00:00; 20; 1
; 21/08/2012 00:00:00; 21; 1
; 21/08/2012 00:00:00; 22; 1
; 21/08/2012 00:00:00; 23; 1
; 21/08/2012 00:00:00; 24; 1
; 21/08/2012 00:00:00; 25; 1
; 21/08/2012 00:00:00; 26; 1
; 21/08/2012 00:00:00; 27; 1
; 21/08/2012 00:00:00; 28; 1
; 21/08/2012 00:00:00; 29; 1
; 21/08/2012 00:00:00; 30; 1
; 21/08/2012 00:00:00; 31; 1
; 21/08/2012 00:00:00; 32; 1
; 21/08/2012 00:00:00; 33; 1
; 21/08/2012 00:00:00; 34; 1
; 21/08/2012 00:00:00; 35; 1
; 21/08/2012 00:00:00; 36; 1
; 21/08/2012 00:00:00; 37; 1
; 21/08/2012 00:00:00; 38; 1
; 21/08/2012 00:00:00; 39; 1
; 21/08/2012 00:00:00; 40; 1
; 21/08/2012 00:00:00; 41; 1
; 21/08/2012 00:00:00; 42; 1
; 21/08/2012 00:00:00; 43; 1
; 21/08/2012 00:00:00; 44; 1
; 21/08/2012 00:00:00; 45; 1
; 21/08/2012 00:00:00; 46; 1
; 21/08/2012 00:00:00; 47; 1
; 21/08/2012 00:00:00; 48; 1
; 21/08/2012 00:00:00; 49; 1
; 21/08/2012 00:00:00; 50; 1
; 21/08/2012 00:00:00; 51; 1
; 21/08/2012 00:00:00; 52; 1
; 21/08/2012 00:00:00; 53; 1
; 21/08/2012 00:00:00; 54; 1
; 21/08/2012 00:00:00; 55; 1
; 21/08/2012 00:00:00; 56; 1
; 21/08/2012 00:00:00; 57; 1
; 21/08/2012 00:00:00; 58; 1
; 21/08/2012 00:00:00; 59; 1
; 21/08/2012 00:00:00; 60; 1
; 21/08/2012 00:00:00; 61; 1
; 21/08/2012 00:00:00; 62; 1
; 21/08/2012 00:00:00; 63; 1
; 21/08/2012 00:00:00; 64; 1
; 21/08/2012 00:00:00; 65; 1
; 21/08/2012 00:00:00; 66; 1
; 21/08/2012 00:00:00; 67; 1
; 21/08/2012 00:00:00; 68; 1
; 21/08/2012 00:00:00; 69; 1
; 21/08/2012 00:00:00; 70; 1
; 21/08/2012 00:00:00; 71; 1
; 21/08/2012 00:00:00; 72; 1
; 21/08/2012 00:00:00; 73; 1
; 21/08/2012 00:00:00; 74; 1
; 21/08/2012 00:00:00; 75; 1
; 21/08/2012 00:00:00; 76; 1
; 21/08/2012 00:00:00; 77; 1
; 21/08/2012 00:00:00; 78; 1
; 21/08/2012 00:00:00; 79; 1
; 21/08/2012 00:00:00; 80; 1
; 21/08/2012 00:00:00; 81; 1
; 21/08/2012 00:00:00; 82; 1
; 21/08/2012 00:00:00; 83; 1
; 21/08/2012 00:00:00; 84; 1
; 21/08/2012 00:00:00; 85; 1
; 21/08/2012 00:00:00; 86; 1
; 21/08/2012 00:00:00; 87; 1
; 21/08/2012 00:00:00; 88; 1
; 21/08/2012 00:00:00; 89; 1
; 21/08/2012 00:00:00; 90; 1
; 21/08/2012 00:00:00; 91; 1
; 21/08/2012 00:00:00; 92; 1
; 21/08/2012 00:00:00; 93; 1
; 21/08/2012 00:00:00; 94; 1
; 21/08/2012 00:00:00; 95; 1
; 21/08/2012 00:00:00; 96; 1
; 21/08/2012 00:00:00; 97; 1
; 21/08/2012 00:00:00; 98; 1
; 21/08/2012 00:00:00; 99; 1
; 21/08/2012 00:00:00; 100; 1
; 21/08/2012 00:00:00; 101; 1
; 21/08/2012 00:00:00; 102; 1
; 21/08/2012 00:00:00; 103; 1
; 21/08/2012 00:00:00; 104; 1
; 21/08/2012 00:00:00; 105; 1
